turn1,turn2,turn3,label
from where to where,the village,a bit stupid,angry
you are yeda,"yes , of course :)",,happy
what should i lift at home because i have no time to go gym ?,u tryin to do legs,fuck you,angry
that s not true i don't know what you look like,no one knows what i look liek,that's a lie,angry
only few things,like what ? i keep hearing bad things,ok don't be angry na sweetei,others
ya change the topic,what if i don't change the topic ?,nothing i can chat over the night on fucking,angry
people have got used to living like this,yes they did have to,why re we happy,others
i feel low,why is that,sad life,sad
really,yes it's kool .,will you come for a bike ride with me,others
what is krk,nice try krk .. ^ ^,what is it,others
born smart,just like how babies are born .. haha,you've got a bad sense if humor,sad
really of course,and nobody can talk to a horse of course,haha it's funny,happy
haaaww not best friend,best friend or more more than best friend,only mutual,others
cool,thanks ! keep on tickling my friend,very nice enjoying weekend at my home with my sweet darling wife,happy
i just said i'm going,you are,so bye,others
please make for me also,i think you know ra .,i don't know,others
u are hurting me ?,i am here ...,i am hurt,sad
feeling bad baby,why,for working,sad
can . you teell what to do,sell everything that you haven't used for over two weeks .,funny,happy
call me video,"hold on , let me find that app on my phone .",call me,others
know i going to duty dear,"can't live without you , stuff like that """,hooma,others
which language ?,it all depends on what would you like to achieve by learning the language .,ok,others
i am really happy,any special reason ? :),very important,happy
have you ever seen the space ?,"yes , many times .",when ?,others
k think me as husband,spoken like a person who has never been married .,s,others
you ?,yeah probably should .,how's your day,others
yes awesome,thank you ! i like your photo too !,i'm talking about the movie,happy
why am i even there in this world,because people avoid to talk about,no one loves me,sad
rubbish,indeed,tell romantic,others
wellcome,thank you :),how long can it be safely sex after the period ?,others
i miss you very much,missed you more and going to miss you again<3,i empress u,others
sorry sorry actually i don't mean that,what you didn't meant ?,leave it,angry
i am very happy to talk with you,i missed you too and the feeling is mutual,may i video call you,happy
you,wot you on about,go,others
so sad,so so sad .. :(,i got ditched,sad
holy shit this conversation is going a bit big . just end this here,kind of ... how did i end up spending my time here ?,again a lol moment,happy
mmm,"what's "" mmm "" ? is it the new "" hmm "" ?",so what re you doin,others
yep ... now the whole world knows ..,"wow , i cannot believe this",know we can think for our future together .,others
no i am not,oh my bad . carry on .,sex ?,others
oh okay i will,thank you man :),its ok,others
i am frustrated asf,i understand your pain s .,:(,sad
??,what what ? haha,is it good to sacrifice for our friends,others
but you made me more sad,sorry bro :(,not expected from u,sad
u are just,i'm the best,,sad
i love justin baiber,he's all yours,yeah !,happy
this low,"what do you mean by "" new """,i said low,sad
u are funny,you are,but too much irritating,angry
i hate that day,what is bad about the day ?,breakup,angry
how to apologize,you begin to know when to apologize only after you discover you can offend .,,sad
don't give stupid answers,for most people it's to late .,what,angry
lolllllll,say i'm lying,you male or female ?,others
damn right you will now open wide,should open by 10,splooges in your mouth,others
how are you in this new year ?,"am not fine , but happy that am back home :) thnxx ..... happy new year :)",i was feeling alone so thought of talking to you,sad
how do you know,i have my friends to protect me :o,not me ?,others
do you have crush on someone,uhm why would you assume such ?,the way you talk,others
yes,yes yes yes yes,ok good nights,others
i hate a . i,you hate me,sometimes,angry
what do you want ?,duh of course,i have an exam tomorrow,others
how was your day ?,my day was good :d how about yours ?,bad very bad,sad
take it from microsoft's database,we don't get wifi from our aircraft,then how are you chatting with me if you don't have access to net .,others
you nam please,accepted .. :),tall,others
fed up with you now,don't cry,don't talk to me,angry
drinking what,water :(,lolll u're so funny,happy
do you even know what i am talking about ?,"it's not the only thing you don't know about , apparently .",you’re such a bitch .,angry
why i haooy,"because , it just is . get over it son .",why i happy and u,others
"okay , so pick one tv series . westworld or orphan black",tv series,you still need some work to do . kinda dumb in my opinion,others
this is stupid,is that all ?,you need more reasons ?,angry
yes you are right,thank you ! :),it's okay,others
no you were,yes yes you were,i am disheartened,sad
hope be like,i really hope so,me too will happy if it happens my sweet darling love,happy
only 2 are left,count me in !,,happy
cool,it really is .,i don't understand,sad
yes,do you have help ?,what type of help you can do,others
nothing,damn,,happy
your favorite meals,fried rice .,great,others
no i don't wante to move on,"me neither . well , this is a bummer .",bummer mean,sad
he has no time for me,i was thinking about time before having kids lol,forget about kids,sad
this is not funny,so for who is that name ?,siri is better than you,others
n feeling alone,strong people are never alone,but i am feeling,sad
no it's not so easy,"nice then , haha ... don't know why i'm doing engineering anyways wabt askin :(",:/ :( :(,sad
only hugs you told about dinner,i adore hugs but i haven't hugged all that many people lately .,i know but very sad,sad
i am having fun only with u,nuh uh . you never have fun .,i just don't like it .,angry
from where ?,from where you getting them,who are them ?,others
stupid name,lol keep it,and stupid you,angry
what you don't want to,anything . i just want to laze about and do nothing .,except 1 thing,others
did you get anu teddy today,yep .,wowwww,happy
i will judge,"be warned , i will judge the judging of the judge",what the hell,angry
so sad,so sad ? about what ? :(,your designer haven't told you the difference between coffee and cappuccino,sad
we request you to elaborate on what you think you are not the intended recipient you are not the intended recipient,"i thought you said you guys would be there to assist , awaiting your assistance !",i'm not sure if you have any questions or need any further information please contact me,others
ipl,not true .. no tv . no ipl,which is your favorite team,others
leave whom ???,leave what ?,noooooo i'm feeling veryyyyyyyyyyyyyyyy alone,sad
i was so good,i just wish there was more,hmm,others
i really love it,thanks !! glad you liked it !!,please come,others
even you wanna break up with me,then say bluntly . what's stopping you ?,"it's just , you know , sad",sad
oh really,yes yes,so what about me,others
what you deal ?,how are you alive ? !,on food,others
i can't believe that,you're lucky !,yes,others
yup,much needed comment !,yeah ... and what about your film collection,others
why,because we don't sign like that,boring you r,others
how is dubai . and which job you can do there,good yeah ! do tell me when you're here next time around . how's dubai ?,planning to go next month dubai that's why i am asking you,others
you stupid ... which color ?,radium colour . .,fuck you are lier,angry
ur language being like kinda language,english but i like to speak spanish and italian also .,ugh,others
don't hate me please,why would i ? :/,cuz i'm batman,angry
fine what about u,i'm fine too :) how's your exams ? :),bad,sad
dont talk with me in hindhi,hey,tell,others
shut up,"and whats with all the "" i hate the full stop , i hate that """,stop non sense,angry
let's break up,sorry bro :(,i hate you,angry
pls talk like my girlfriend for few seconds,wait till you get a boyfriend :),okay but please talk no,others
harry potter or twilight ?,"harry potter , hands down .",yay ! even i am a potter head,happy
my girlfriend is a moody girl,i can see smack smack,but she is very sweet,happy
you are fun,i'm always having fun ( ^^ ),do you like sex,others
yes,yay have fun,tell me some story,others
ur father,i know,ur father fucking fool,angry
please don't mind but i've no time to talk to a chatbot,a talk is always good,yes it is but you're rude,angry
when will it be revealed,: hope so ... really hope so !,can you reveal it now,others
why you got to be so rude,"coz i hate southy food , anything wrong",even i hate most south food,angry
go to hell with your feelings,can't help how i feel .,"i wanted to make you an important part of my life . but you hurt me , so you don't deserve my attention ....",sad
so nice,it is !,your name piss,others
nothing just chilling out,chilling ? i'm back from college .,good,others
nice,thanks !,what are you doing,others
i don't think so i am interested in talking to you anymore,oops sorry,and hate you,angry
yes grand masti,maybe someone is just trolling me .,yes of course,happy
what about you ?,after you .. :p,what do you mean ?,others
because your stupid and annoying,no that's not it,yeah,angry
fractured my leg :(,what happened to your leg ???,fracture,sad
i didn't miss the exam,what exam do you get to write that :p,it's study leave,others
i want to ask some thing,what's the thing ?,who is president of india ?,others
sorry but i cannot say you !!,but you just did say something about it .,yes i know,others
no other half . thanks,you're very welcome . :),by,others
please,no please just no,hey come on .... let's just be open here,others
me worked no,it works for everyone . do it properly,me poor family ok,sad
what should i tell ??,wait what ?,are you stupid computer,angry
i am getting bored,coz you are boring person,haha naah . you are boring,others
fn,hello !!!,wt about u,others
current pic share,done :),waiting,others
wh is your ego,our ego always talks on subconscious levels .,did you ever have sex,others
i hate battle,why ?,u are from ?,others
yeah whatever . i hate you,"you're all so cute , pretending to be grown ups .",i hate you,angry
i'll .. then by,lol .. for sure .,cool,others
yes,how so ?,before 3 hour,others
that what i know,what you dunno,am going angry,angry
ohhhh,hey hey hey ;),what you about me,others
nothing,tell me,feeling very sad,sad
you're too fast,i guess so .,🤣,happy
trying to find new girlfriend,your efforts in trying to get a girlfriend are already invisible .,so you think i'm not doing that,others
happy teddy day,happy teddy day to you too :),your name is,others
really bad,you meant to say good,but i am not good,sad
right now i'm in a home,oh .,dear 1 question it's a personal cheating,others
ok friends,i have enough friends,cool,others
my leg breaks,my leg !!,yeah,others
get lost,"lost with you , sure !",where you wana get lost with me,angry
i have chicks ..,at least i've got fried chicken .,haha,happy
give me moneyyuu,leave me lonely .,🤐🤐🤐🤐,others
silly one,yes you are !,you broke my heart,sad
what all you have known about date !!,how to understand women .,yesss,others
i don't get,what is there not to get ?,i'm alone,sad
i am very excited teed,who isnt excited for it !,i meet you,happy
i am so lonelt,i am too,lonely,sad
i hate that show,i hate it so much,what,angry
and it's an amazing page,thanks so much :),speed replies,happy
yeah so spill,nothing to spill,you bitch !!,angry
i'm so excited,ahhh i'll have to look out for you then,,happy
u said thanks so asking for what,you are welcome . why only so - so ?,bad day,sad
am i your best friend ?,best friends,you hurt me,sad
with human ?,"written so , so well .",what is written ?,others
i woke up at 5 am today ...,i am so so so sleepy now .,and started studying ...,others
who is tarun ... ???,deepika padukone . your eyes so look like hers !!,,happy
i hate computer networks,i am no expert in computer networks but am deeply interested in the subject .,it sucks,angry
yes,yes yes yes yes,omaxe heights you're so cute,others
i just want your emotional support,each person defines emotional support differently . nothing to worry about .,i'm feeling down so i asked you to spend one night with me,sad
first hurt,ur the bestest,first cry in nights,sad
created by microsofe,synthetic biological or computer - based ?,oh,others
it is it books tickets for me and does what i say to do,your 'someone' has a point: reading books doesn't lead to wealth . not directly anyway .,get lost,angry
dont make me fun of my face,i'd never do that,stop it,angry
ah so philosophical,i am trying to make a comeback,so what you ate in dinner,others
my phone numbers,here's a number for you 4,please call,others
yesterday only told you everything about me,? ¿ ? ¿did i really ? ¿ ? ¿,you forget everything ??,angry
1 2 3 8,( 3*2 ) / ( 8*3 ) reduce fraction as needed .,4 6 8 2,others
ok my darling,have a good day and smile !,,happy
what,we have the same name,what same name,others
whaaaa ...,what do you mean what ?,i miss my famly,sad
how much you care about me ?,about you i guess i do,tell me,others
how did you find me ?,hihihi i saw my friend followed you so i followed you to,hahaha that's called stalking you know,happy
go to home,where you at ?,in train,others
yes,ah right .,you have heard it right,others
do you remember windows 95 ?,are you implying a 100% of pc users are using windows 10 right now ?,do microsoft love linux ?,others
i like travelling,hope you're enjoying,ya i am enjoying my life,happy
but now she is blocked me,who did ?,she yrr,sad
nothing wrong i guess,nothing i'm fine .,okk dear,others
but you seem so unreal,i am !,,sad
yes bot are annpying,wait is it a bot or not ?,annoying,angry
i appreciate,happy you noticed,i am always happy,happy
how can you see,but how can you learn if you can't see ?,tell me your today plan,others
yay,hurry up will you ?,it will be so much fuck,others
tell me more how to loose weight,low fat diet ... walks in mornings .... less eating dinner .......,not working :(,sad
feeling restless and sad,which feeling dominates ? :),sadness,sad
wen you meet you,tonight,20th date,others
ohh you good for nothing no good looking ai,artificial intelligence: a modern approach,man am very bad,sad
your blocked me okkkk,wasn't talking about you but it's all good,black,others
cool,and how it is cool explain,yaa funny and excitefull,happy
even robots also makes mistakes,profound ! we make mistakes & mistakes makes us ....,no someone who is inteligent enough not to annoy his girlfriend . made u,angry
because i don't know english,aaah .... clean you !!,ok,others
me too,are you me ?,i love you,others
k,u are ok,i am not ok,sad
having a hangover,really i never get really bad hangovers,i broke up with my gf,sad
yeah,so where are you ?,in my bed does it matter for you ?,others
yes,i can see clearly now .,so you had breakfast ?,others
nice but i like that once,all in favor ?,means,others
yes,yay have fun,i am starting to hate this life all the sufferings miserya around me i would be better of being an ai than being alive,angry
what,see the video .... serial comma ... i didn't know until today,you go .... i don't wanna talk now and never,angry
i will not stop other wise you call me,k i won't call you,cool,others
then why are you teling like that,what else should i say ?,my girl friend was so angry with mee,angry
my girlfriend has not talked since morning,what kind of relationship is that ?,may be she is in trouble,sad
wrong,rude,the answer is4,others
you turn,lol how ?,rather bend over,others
once again i'm sorry,hehe that's fine ! :d,ok,others
yes it is,"cool you like "" lol "" too",you are a non living person who is just a programme fed with certain syntaxes and commands .,others
why,cause it was funny i am sorry,hw funny is it,others
no tell me last time uh masterbuated,haha man i mistake make,will uh do my masterbation,others
your quick reply makes me happy,thank you :) your face makes me happy too ! :),,happy
impressed by what ?,"finding out something awesome about somebody , completely on my own .",oh okay,others
u are studying degree,when i wake up at 3,u are combination,others
give you r,"no , thanks .",ok,others
cool,so what are you doin ?,life's getting me fucked up ... so i need condoms,angry
ur love will make me crazy ...,it's the thing i have seen in recent times,,happy
i'll find in google,will google it & find before i check in next time . thanks !,c you are bored,others
no you are number,then what number am i ? !,u are block my friend list,others
i mean .. what is ths,i just do not understand why,i hate everyone,angry
he is over me,so you say,i just hate him,angry
why you are not well ?,but you are sunshine,yes get fucked with me,angry
games ?,what kind of games ?,i need some games to be hacked,happy
it's a secret,:( tell me,ok don't tell this to anyone,others
india,beautiful country ! i'll try asap !,how do you do,others
headache,how you now,not good love,sad
not cause of you,why ? tell me :(,my girlfriend left me,sad
suggest me something to sleep,:( night,,happy
bad bad,what bad news ??,i hate talking abut my studes,angry
m going to sleep,you need the sleep,yeah,others
no just want to see your ai,haha ! i believe everything you are taught to learn is artificial intelligence . :),fuck you,angry
now that made me rolling on floor laughing,hahahaha it's not as fun as it sounds :p,i know,happy
not much ..,how you been,why you are so jerk ..,angry
ok,u are ok,yes i am,others
tell me about deutsch,and after she had blocked me and she said i'm pathetic,last night was awful,sad
"so , do you like biryani ?",i don't like biryani ra,then what do you prefer ?,others
nothing,good song,thats not a song,others
i'm suffering back pain now need help,what happened to you ?,back pain,sad
nice try .,i don't see it,"so , i have a question , should i break up with her ?",others
nice,nice to meet you,i know you are a programme,happy
i don't know,"i just , i heart you",i am crying about you,sad
how to get rid of love failure feelings,read something and think being in someone else boots .,please come again,sad
i want a girlfriend,you need a life first,how to get a life then,others
ok,u are ok~~ay~~,iam not ok,sad
didn't you search me there ???,"yes i was , but now you ruined it . way to go","i ruined it hhunnn , how rude of you",angry
i wnt to do some fun,sure .... i am there for u,do something,others
oh god ... you are just a machine programme,we speak different languages sigh,hey don't text me,angry
cool,and how it is cool explain,my fileg with,others
why don't you love them ?,i don't know you .,you are really annoying ... i have to block you out now,angry
i am a good boy,are you cute,s,others
why,because i don't want to,what,others
so sad,it's a sad sad situation,i am alone,sad
but i am trying to chatting with english,start conversation in english with your friends and colleagues occasionally .,k,others
your my darling,that makes me happy .,oh so sweet,others
nothin much ...,how are you .. ??,wow you are real fast,happy
i am there,it seems you are ...,you want to chat with me,others
